ticker,events,avg_fwd_1d,hit_rate_1d,avg_fwd_5d,hit_rate_5d
INTC,76,0.563,59.2,1.908,57.9
F,75,-0.094,53.3,-0.572,43.2
AMD,71,0.105,57.7,-0.333,49.3
MU,69,0.266,55.1,1.066,55.9
CAT,66,0.493,54.5,0.963,57.6
QCOM,66,-0.069,48.5,0.004,55.4
AVGO,65,0.249,49.2,0.437,52.3
NVDA,63,0.245,61.9,0.767,50.8
UNH,63,0.022,49.2,0.857,50.8
GM,62,-0.441,43.5,-0.438,45.9
ORCL,60,0.156,47.5,-0.893,44.8
AAPL,59,0.34,49.2,-0.184,44.1
ADBE,59,0.081,50.0,1.043,58.6
AXP,59,-0.219,47.5,-0.017,54.2
IBM,59,0.077,58.6,0.276,50.0
LLY,59,0.364,54.2,1.15,55.9
SBUX,58,-0.169,46.6,-0.533,48.3
BLK,58,-0.089,50.0,-0.19,53.4
NKE,57,-0.054,50.9,0.943,61.4
MSFT,57,0.194,53.6,0.279,50.0
PFE,57,-0.056,42.1,0.226,54.4
GOOGL,57,0.433,59.6,-0.004,52.6
COST,56,0.332,60.0,0.938,61.8
DIS,56,0.064,48.2,0.278,53.6
GS,56,0.789,58.9,0.323,55.4
AMZN,55,-0.035,60.0,-0.261,50.9
WFC,55,0.463,52.7,1.122,65.5
BA,55,-0.175,47.3,0.065,60.0
CRM,55,0.216,48.1,-0.124,44.4
TSLA,55,0.159,45.5,0.556,41.8
TXN,54,-0.094,48.1,0.071,56.6
CVX,54,0.216,50.0,0.518,50.0
META,53,0.194,56.6,-0.154,44.2
PEP,53,-0.11,45.3,0.04,48.1
GE,53,-0.102,47.2,0.084,52.8
TMO,52,0.607,55.8,0.524,51.0
PYPL,52,0.381,55.8,-1.178,46.2
WMT,52,0.257,55.8,-0.185,46.2
MS,51,0.248,43.1,-0.491,49.0
NFLX,51,0.918,64.7,1.634,62.7
V,50,-0.172,50.0,-0.447,50.0
XOM,50,0.11,48.0,-0.332,44.0
COP,50,-0.313,36.0,0.256,52.0
MCD,49,0.027,51.0,-0.155,46.9
JPM,49,0.209,57.1,-0.153,53.1
HD,49,0.191,57.1,-0.267,46.9
CSCO,49,0.52,57.1,0.505,53.1
MA,48,-0.131,45.8,-0.419,50.0
MRK,46,-0.085,50.0,0.203,44.4
ABBV,46,-0.017,52.2,0.822,65.2
UBER,46,0.049,43.5,-0.653,45.7
PG,45,-0.117,44.4,-0.43,45.5
BAC,45,0.527,53.3,0.621,62.2
KO,42,-0.011,57.1,-0.264,33.3
JNJ,41,0.012,53.7,0.1,56.1
BRK-B,36,-0.042,44.4,-0.423,44.4
