regime,event_day,n_events,avg_cum_return_pct,win_rate_pct
overall,0,3084,0.0,
overall,1,3078,0.1373,51.7
overall,2,3076,0.2283,53.8
overall,3,3073,0.2669,53.2
overall,4,3070,0.1973,52.4
overall,5,3067,0.1951,51.6
overall,6,3065,0.1795,51.4
overall,7,3061,0.1456,50.2
overall,8,3060,0.2339,51.5
overall,9,3060,0.282,51.6
overall,10,3058,0.3194,52.1
bull,0,2100,0.0,
bull,1,2094,0.1459,52.5
bull,2,2092,0.1897,54.1
bull,3,2089,0.3321,54.2
bull,4,2086,0.3385,53.8
bull,5,2083,0.3937,53.7
bull,6,2081,0.4455,53.4
bull,7,2077,0.4414,52.5
bull,8,2076,0.5172,53.0
bull,9,2076,0.5451,52.6
bull,10,2074,0.5967,53.9
bear,0,897,0.0,
bear,1,897,0.1183,49.7
bear,2,897,0.3409,53.3
bear,3,897,0.106,51.3
bear,4,897,-0.1417,49.5
bear,5,897,-0.2373,47.5
bear,6,897,-0.3821,46.8
bear,7,897,-0.5334,45.0
bear,8,897,-0.4033,48.0
bear,9,897,-0.3169,49.1
bear,10,897,-0.3188,48.2
