date,ticker,signal,regime,action,confidence,has_news,realized_1d,realized_3d,realized_5d,resolved,correct
2021-07-19,AAPL,BREACH_DOWN,UNKNOWN,IGNORE,,False,-2.5974,-3.0537,-4.5911,True,0.0
2021-08-18,AAPL,BREACH_DOWN,BULL,IGNORE,,False,-0.2323,-2.2889,-1.3665,True,0.0
2021-08-30,AAPL,BREACH_UP,BULL,LONG,,False,-0.8425,0.3461,2.3315,True,1.0
2021-09-10,AAPL,BREACH_DOWN,BULL,IGNORE,,False,-0.3893,-0.0403,1.9534,True,0.0
2021-10-28,AAPL,BREACH_UP,BULL,LONG,,False,-1.8155,-1.6714,-1.0552,True,0.0
2021-11-18,AAPL,BREACH_UP,BULL,LONG,,False,1.6976,2.2424,-0.6714,True,1.0
2021-11-26,AAPL,BREACH_DOWN,BULL,IGNORE,,False,-2.1874,-5.0762,-3.2077,True,0.0
2021-11-30,AAPL,BREACH_UP,BULL,LONG,,False,-0.3206,-2.0932,3.5572,True,0.0
2022-01-28,AAPL,BREACH_UP,BEAR,HOLD,,False,2.6126,3.2349,1.3383,True,1.0
2022-04-28,AAPL,BREACH_UP,BEAR,HOLD,,False,-3.6605,-2.5422,-4.1983,True,0.0
2022-05-05,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,-0.4727,1.2968,8.9306,True,1.0
2022-05-18,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,2.4641,-1.6262,0.213,True,0.0
2022-08-03,AAPL,BREACH_UP,BULL,LONG,,False,-0.1927,-0.6206,2.0135,True,0.0
2022-08-26,AAPL,BREACH_DOWN,BULL,IGNORE,,False,1.369,3.9115,4.7733,True,1.0
2022-09-12,AAPL,BREACH_UP,BULL,LONG,,False,-5.868,-6.7674,-5.4764,True,0.0
2022-09-13,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,-0.9555,2.0411,-1.9891,True,1.0
2022-09-29,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,3.0039,-2.5407,-2.0705,True,0.0
2022-10-28,AAPL,BREACH_UP,BULL,LONG,,False,-1.541,-6.8769,-10.9994,True,0.0
2022-11-10,AAPL,BREACH_UP,BULL,LONG,,False,1.9269,2.1584,2.6214,True,1.0
2023-03-03,AAPL,BREACH_UP,BULL,LONG,,False,1.854,1.2183,-1.6752,True,1.0
2023-04-13,AAPL,BREACH_UP,BULL,LONG,,False,-0.2114,0.5496,0.6584,True,1.0
2023-04-27,AAPL,BREACH_UP,BULL,LONG,,False,0.7541,0.0772,-1.5557,True,1.0
2023-05-05,AAPL,BREACH_UP,BULL,LONG,,False,-0.0403,-0.0058,-0.4386,True,0.0
2023-06-30,AAPL,BREACH_UP,BULL,LONG,,False,-0.7784,-1.1136,-2.7633,True,0.0
2023-08-04,AAPL,BREACH_DOWN,BULL,IGNORE,,False,1.7253,2.088,2.1759,True,1.0
2023-08-24,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,-1.2643,-4.3883,-6.5144,True,0.0
2023-09-06,AAPL,BREACH_DOWN,BULL,IGNORE,,False,2.9249,1.9409,4.7564,True,1.0
2023-09-07,AAPL,BREACH_DOWN,BULL,IGNORE,,False,-0.3492,0.7096,1.025,True,1.0
2024-01-02,AAPL,BREACH_DOWN,BULL,IGNORE,,False,0.7488,2.4025,0.2693,True,1.0
2024-01-18,AAPL,BREACH_UP,BULL,LONG,,False,1.5533,3.4724,2.937,True,1.0
2024-03-05,AAPL,BREACH_DOWN,BULL,IGNORE,,False,0.5878,-0.3586,-1.8281,True,0.0
2024-03-21,AAPL,BREACH_DOWN,BULL,IGNORE,,False,-0.531,0.9687,-0.0642,True,1.0
2024-04-11,AAPL,BREACH_UP,BULL,LONG,,False,0.8627,-3.2335,-4.5704,True,0.0
2024-05-03,AAPL,BREACH_UP,BEAR,HOLD,,False,-0.9107,-0.349,-0.0446,True,0.0
2024-06-11,AAPL,BREACH_UP,BULL,LONG,,False,2.8578,2.5779,3.4468,True,1.0
2024-06-12,AAPL,BREACH_UP,BULL,LONG,,False,0.5491,1.6896,-1.591,True,1.0
2024-08-05,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,0.9748,-1.9305,-4.0674,True,0.0
2024-09-19,AAPL,BREACH_UP,BULL,LONG,,False,-0.2927,-0.6554,-0.5898,True,0.0
2024-12-18,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,-0.7015,-2.9107,-4.4225,True,0.0
2025-01-02,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,0.2009,0.6725,2.8706,True,1.0
2025-01-16,AAPL,BREACH_DOWN,BULL,IGNORE,,False,-0.7535,1.9408,2.4008,True,1.0
2025-01-28,AAPL,BREACH_UP,BULL,LONG,,False,0.4617,-0.9485,-2.2916,True,0.0
2025-03-10,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,2.9189,7.8249,5.9258,True,1.0
2025-04-03,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,7.2887,15.1435,6.2848,True,1.0
2025-04-04,AAPL,BREACH_DOWN,BEAR,IGNORE,,False,3.6734,-5.5579,-5.1863,True,0.0
2025-04-09,AAPL,BREACH_UP,BEAR,HOLD,,False,-4.2394,1.8456,-2.3032,True,1.0
2025-05-12,AAPL,BREACH_UP,BULL,LONG,,False,1.0152,0.3131,-0.9535,True,1.0
2025-08-06,AAPL,BREACH_UP,BULL,LONG,,False,3.1794,6.6531,9.5404,True,1.0
2025-08-08,AAPL,BREACH_UP,BULL,LONG,,False,-0.8337,1.8508,1.0913,True,1.0
2025-09-03,AAPL,BREACH_UP,BULL,LONG,,False,0.5493,-0.2474,-4.8979,True,0.0
2025-09-10,AAPL,BREACH_DOWN,BULL,IGNORE,,False,-1.4286,-4.3697,-5.3794,True,0.0
2025-09-19,AAPL,BREACH_UP,BULL,LONG,,False,4.3096,2.7739,4.057,True,1.0
