ticker,entry_date,exit_date,direction,days_held,gross_return_pct
WFC,2021-06-22,2021-06-28,long,5,5.7995
BA,2021-06-22,2021-06-28,long,5,-2.1689
IBM,2021-06-22,2021-06-28,long,5,-0.9274
COP,2021-06-22,2021-06-28,long,5,-1.4227
AXP,2021-06-22,2021-06-28,long,5,-0.0728
TSLA,2021-06-24,2021-06-30,long,5,3.5228
LLY,2021-06-25,2021-07-01,long,5,-0.7898
NKE,2021-06-28,2021-07-02,long,5,3.492
AXP,2021-06-29,2021-07-06,short,5,-3.105
NVDA,2021-06-29,2021-07-06,long,5,3.5702
META,2021-06-29,2021-07-06,long,5,-0.8042
MA,2021-06-29,2021-07-06,short,5,-2.2874
BA,2021-06-29,2021-07-06,short,5,1.5431
MS,2021-06-30,2021-07-07,long,5,-0.673
AMD,2021-07-01,2021-07-07,long,4,-3.6091
WMT,2021-07-01,2021-07-08,long,5,-1.014
MU,2021-07-02,2021-07-09,short,5,1.5378
ORCL,2021-07-06,2021-07-14,long,7,8.2934
MSFT,2021-07-06,2021-07-12,long,5,-0.1189
GOOGL,2021-07-06,2021-07-12,long,5,1.3716
IBM,2021-07-06,2021-07-12,short,5,-0.6612
AMZN,2021-07-06,2021-07-13,long,6,4.7388
COP,2021-07-07,2021-07-13,short,5,1.3021
AMD,2021-07-08,2021-07-14,short,5,1.6262
BLK,2021-07-09,2021-07-09,short,1,-2.8306
GM,2021-07-12,2021-07-16,long,5,-5.6161
DIS,2021-07-12,2021-07-19,long,6,-2.3102
BAC,2021-07-12,2021-07-16,long,5,-5.2947
BLK,2021-07-12,2021-07-14,long,3,-2.3288
BRK-B,2021-07-12,2021-07-16,long,5,-0.9234
JPM,2021-07-12,2021-07-16,long,5,-2.478
GS,2021-07-12,2021-07-16,long,5,-1.8722
PEP,2021-07-14,2021-07-20,long,5,1.8698
BA,2021-07-14,2021-07-20,short,5,4.4927
KO,2021-07-15,2021-07-21,long,5,0.5155
BLK,2021-07-15,2021-07-20,short,4,-0.1103
NVDA,2021-07-16,2021-07-22,short,5,-3.6842
DIS,2021-07-20,2021-07-26,short,5,-3.32
GE,2021-07-20,2021-07-20,short,1,-5.8333
SBUX,2021-07-20,2021-07-22,short,3,-6.0901
AAPL,2021-07-20,2021-07-26,short,5,-4.48
UNH,2021-07-20,2021-07-26,short,5,-1.1067
V,2021-07-20,2021-07-26,short,5,-3.9834
MCD,2021-07-20,2021-07-20,short,1,-2.1853
AXP,2021-07-20,2021-07-20,short,1,-3.7221
MA,2021-07-20,2021-07-26,short,5,-7.1212
MCD,2021-07-21,2021-07-27,long,5,5.1564
BA,2021-07-21,2021-07-27,long,5,2.3578
AXP,2021-07-21,2021-07-27,long,5,2.4101
PFE,2021-07-21,2021-07-27,long,5,2.5578
BLK,2021-07-21,2021-07-27,long,5,-1.9298
GE,2021-07-21,2021-07-27,long,5,2.9921
NFLX,2021-07-22,2021-07-28,short,5,-1.1008
TXN,2021-07-22,2021-07-22,long,1,-5.3182
SBUX,2021-07-23,2021-07-28,long,4,-0.1794
TXN,2021-07-23,2021-07-29,short,5,-3.766
INTC,2021-07-26,2021-07-30,short,5,-1.4575
META,2021-07-26,2021-07-29,long,4,-3.1018
GOOGL,2021-07-26,2021-08-04,long,8,1.5867
ORCL,2021-07-26,2021-07-30,short,5,0.6199
SBUX,2021-07-29,2021-08-04,short,5,3.4872
AMD,2021-07-29,2021-08-05,long,6,14.7248
PFE,2021-07-29,2021-08-11,long,10,7.5476
QCOM,2021-07-30,2021-08-05,long,5,-2.7551
PYPL,2021-07-30,2021-08-05,short,5,0.7404
META,2021-07-30,2021-08-05,short,5,-1.3591
ABBV,2021-08-02,2021-08-06,short,5,1.5924
PG,2021-08-02,2021-08-06,long,5,-0.5765
AMZN,2021-08-02,2021-08-06,short,5,-0.5432
V,2021-08-03,2021-08-09,short,5,-0.1327
LLY,2021-08-04,2021-08-10,long,5,5.258
GM,2021-08-05,2021-08-11,short,5,-3.0136
PEP,2021-08-05,2021-08-11,short,5,-0.6404
COST,2021-08-06,2021-08-12,long,5,0.4896
WMT,2021-08-06,2021-08-17,long,8,3.9622
UNH,2021-08-06,2021-08-12,short,5,1.2563
GS,2021-08-09,2021-08-13,long,5,3.2396
MU,2021-08-11,2021-08-19,short,7,7.5447
PFE,2021-08-12,2021-08-18,short,5,-6.3287
CAT,2021-08-12,2021-08-18,long,5,-5.346
HD,2021-08-18,2021-08-24,short,5,-1.3272
GM,2021-08-18,2021-08-24,short,5,1.5838
AAPL,2021-08-19,2021-08-25,short,5,-1.3762
IBM,2021-08-19,2021-08-25,short,5,-0.2974
UNH,2021-08-20,2021-08-26,long,5,-2.5801
PEP,2021-08-20,2021-08-26,long,5,-2.6933
CSCO,2021-08-20,2021-08-26,long,5,3.37
MSFT,2021-08-20,2021-08-27,long,6,0.9941
NFLX,2021-08-20,2021-08-26,long,5,1.1789
NVDA,2021-08-23,2021-08-30,long,6,8.9931
XOM,2021-08-24,2021-08-30,long,5,0.4553
AXP,2021-08-26,2021-09-01,long,5,-1.047
PYPL,2021-08-31,2021-09-07,long,5,1.6605
AAPL,2021-08-31,2021-09-07,long,5,2.3315
WFC,2021-09-01,2021-09-09,short,6,2.6653
ABBV,2021-09-02,2021-09-09,short,5,4.5054
V,2021-09-03,2021-09-10,short,5,-0.3621
JNJ,2021-09-08,2021-09-16,short,7,4.2299
KO,2021-09-08,2021-09-14,short,5,-0.8213
PEP,2021-09-08,2021-09-14,short,5,-0.4258
LLY,2021-09-10,2021-09-16,short,5,3.8153
UNH,2021-09-13,2021-09-13,short,1,-2.6268
AAPL,2021-09-13,2021-09-17,short,5,1.943
UNH,2021-09-14,2021-09-20,long,5,-0.4391
NKE,2021-09-14,2021-09-20,short,5,3.3851
GE,2021-09-15,2021-09-21,short,5,3.5326
ORCL,2021-09-15,2021-09-21,short,5,-0.6545
COP,2021-09-16,2021-09-29,long,10,14.6999
SBUX,2021-09-16,2021-09-22,short,5,1.3492
ADBE,2021-09-16,2021-09-22,long,5,-5.2944
TMO,2021-09-20,2021-09-24,long,5,2.1749
QCOM,2021-09-20,2021-09-24,short,5,-0.2325
DIS,2021-09-21,2021-09-28,short,6,2.0596
F,2021-09-21,2021-09-27,short,5,-9.7722
JPM,2021-09-21,2021-09-23,short,3,-5.2431
GS,2021-09-21,2021-09-27,short,5,-5.5644
MS,2021-09-21,2021-09-27,short,5,-6.3336
BAC,2021-09-21,2021-09-23,short,3,-6.3908
AMZN,2021-09-21,2021-09-27,short,5,-1.4983
TSLA,2021-09-21,2021-09-27,short,5,-7.8882
CAT,2021-09-21,2021-09-27,short,5,-4.6959
GM,2021-09-21,2021-09-27,short,5,-7.4292
UBER,2021-09-22,2021-09-28,long,5,3.6519
META,2021-09-23,2021-10-11,short,13,4.9163
BA,2021-09-23,2021-09-29,long,5,3.8621
ADBE,2021-09-23,2021-10-05,short,9,10.0171
JPM,2021-09-24,2021-09-30,long,5,1.5572
CRM,2021-09-24,2021-09-30,long,5,-2.3897
GE,2021-09-24,2021-09-30,long,5,0.1458
BAC,2021-09-24,2021-09-30,long,5,1.823
AXP,2021-09-24,2021-09-30,long,5,-3.363
MA,2021-09-24,2021-09-30,long,5,-1.8047
COST,2021-09-27,2021-09-28,long,2,-4.3613
NKE,2021-09-27,2021-10-01,short,5,1.653
TXN,2021-09-29,2021-10-05,short,5,0.4391
AMD,2021-09-29,2021-10-05,short,5,-0.428
COST,2021-09-29,2021-10-05,short,5,0.1828
PYPL,2021-09-29,2021-10-05,short,5,0.5632
AVGO,2021-09-29,2021-10-05,short,5,1.046
NVDA,2021-09-29,2021-10-11,short,9,-0.4326
GOOGL,2021-09-29,2021-10-05,short,5,-0.2778
MSFT,2021-09-29,2021-10-05,short,5,-1.9651
MRK,2021-09-30,2021-10-08,long,7,7.3778
LLY,2021-09-30,2021-10-06,long,5,-1.0896
ORCL,2021-10-01,2021-10-07,short,5,-5.7687
HD,2021-10-01,2021-10-07,short,5,-2.7987
DIS,2021-10-04,2021-10-08,long,5,0.4148
MA,2021-10-04,2021-10-04,long,1,-4.4366
AXP,2021-10-04,2021-10-08,long,5,0.9459
IBM,2021-10-04,2021-10-08,long,5,-0.0698
V,2021-10-04,2021-10-08,long,5,-0.0824
MA,2021-10-05,2021-10-11,short,5,-1.0759
NFLX,2021-10-06,2021-10-12,long,5,-1.5548
PEP,2021-10-07,2021-10-13,long,5,1.9554
F,2021-10-08,2021-10-14,long,5,3.7609
GM,2021-10-08,2021-10-14,long,5,2.2148
COP,2021-10-11,2021-10-15,long,5,-1.0411
BLK,2021-10-14,2021-10-20,long,5,4.047
AXP,2021-10-14,2021-10-20,short,5,-6.1621
UNH,2021-10-15,2021-10-21,long,5,5.2146
BAC,2021-10-15,2021-10-21,long,5,3.905
INTC,2021-10-15,2021-10-21,long,5,3.8961
WFC,2021-10-18,2021-10-22,long,5,4.7127
GS,2021-10-18,2021-10-22,long,5,2.0317
AMZN,2021-10-18,2021-10-22,long,5,-2.1552
JNJ,2021-10-20,2021-10-26,long,5,1.1473
WMT,2021-10-20,2021-10-26,long,5,2.806
PYPL,2021-10-21,2021-10-28,short,6,8.469
IBM,2021-10-22,2021-10-28,short,5,1.9483
NFLX,2021-10-22,2021-10-28,long,5,3.1983
AMZN,2021-10-25,2021-10-29,short,5,-1.1967
INTC,2021-10-25,2021-10-29,short,5,0.8408
GOOGL,2021-10-25,2021-10-27,short,3,-6.1652
META,2021-10-25,2021-10-29,short,5,0.0718
AXP,2021-10-25,2021-10-29,long,5,-7.1093
TSLA,2021-10-26,2021-11-08,long,10,13.4731
NVDA,2021-10-27,2021-11-02,long,5,6.8131
KO,2021-10-28,2021-11-03,long,5,1.3869
V,2021-10-28,2021-11-03,short,5,3.5742
GM,2021-10-28,2021-11-03,short,5,-3.1507
MCD,2021-10-28,2021-11-03,long,5,3.1599
MA,2021-10-28,2021-11-03,short,5,1.866
GOOGL,2021-10-28,2021-11-03,long,5,0.2602
TXN,2021-10-28,2021-11-03,short,5,-1.7232
MSFT,2021-10-28,2021-11-03,long,5,3.3512
AAPL,2021-10-29,2021-11-04,long,5,-1.0553
MRK,2021-10-29,2021-11-04,long,5,4.6101
F,2021-10-29,2021-11-04,long,5,15.1839
CAT,2021-10-29,2021-11-04,long,5,-0.245
ABBV,2021-11-01,2021-11-05,long,5,2.1889
SBUX,2021-11-01,2021-11-01,short,1,-3.5166
BA,2021-11-02,2021-11-12,long,9,2.9733
SBUX,2021-11-02,2021-11-12,long,9,2.1874
CSCO,2021-11-03,2021-11-09,long,5,-0.3124
PFE,2021-11-03,2021-11-12,long,8,10.3774
NKE,2021-11-04,2021-11-08,long,3,-0.3768
LLY,2021-11-04,2021-11-10,long,5,-0.6047
UBER,2021-11-04,2021-11-10,long,5,-5.1181
GM,2021-11-05,2021-11-18,long,10,6.2926
NVDA,2021-11-05,2021-11-11,long,5,1.9764
COST,2021-11-05,2021-11-11,long,5,-0.6672
AMD,2021-11-05,2021-11-10,long,4,1.7236
QCOM,2021-11-05,2021-11-12,long,6,5.6563
MRK,2021-11-08,2021-11-12,short,5,-2.8856
DIS,2021-11-08,2021-11-11,long,4,-7.698
TMO,2021-11-08,2021-11-12,short,5,-2.9542
CAT,2021-11-09,2021-11-15,long,5,-3.0525
PEP,2021-11-09,2021-11-15,short,5,-0.8535
NKE,2021-11-09,2021-11-17,short,7,-0.1048
TSLA,2021-11-10,2021-11-16,short,5,-3.4205
PYPL,2021-11-10,2021-11-16,short,5,-4.9213
COP,2021-11-11,2021-11-17,short,5,1.4048
CRM,2021-11-11,2021-11-17,short,5,-2.7419
AMD,2021-11-11,2021-11-17,short,5,-7.9381
ADBE,2021-11-11,2021-11-17,short,5,-3.537
DIS,2021-11-12,2021-11-18,short,5,4.1441
NFLX,2021-11-15,2021-11-19,long,5,-0.5582
MU,2021-11-15,2021-11-29,long,10,11.436
BA,2021-11-16,2021-11-19,long,4,-8.1342
CVX,2021-11-16,2021-11-22,long,5,-1.364
QCOM,2021-11-17,2021-11-23,long,5,-0.4785
WMT,2021-11-17,2021-11-23,short,5,-1.8606
HD,2021-11-17,2021-11-26,long,7,2.6432
V,2021-11-18,2021-11-24,short,5,0.7185
CSCO,2021-11-19,2021-11-26,short,5,-2.0123
NVDA,2021-11-19,2021-11-26,long,5,-0.543
AMZN,2021-11-19,2021-11-26,long,5,-5.1812
AAPL,2021-11-19,2021-11-26,long,5,-0.6715
BA,2021-11-22,2021-12-02,short,8,4.5967
XOM,2021-11-22,2021-12-03,short,9,-0.7245
COP,2021-11-22,2021-12-03,short,9,-2.6865
BRK-B,2021-11-23,2021-11-30,long,5,-2.9056
F,2021-11-23,2021-11-30,long,5,-6.2988
AVGO,2021-11-23,2021-11-29,short,4,-2.1146
MA,2021-11-23,2021-11-30,short,5,1.5675
ABBV,2021-11-24,2021-12-01,long,5,-2.4983
GE,2021-11-29,2021-12-03,short,5,5.158
MSFT,2021-11-29,2021-12-03,short,5,1.9467
CAT,2021-11-29,2021-12-03,short,5,0.3431
MRK,2021-11-29,2021-12-06,short,6,7.4882
BLK,2021-11-29,2021-12-03,short,5,-0.0078
BAC,2021-11-29,2021-12-03,short,5,3.5836
KO,2021-11-29,2021-12-06,short,6,-3.1159
JPM,2021-11-29,2021-12-03,short,5,2.1927
PFE,2021-11-29,2021-12-03,long,5,0.5
AXP,2021-11-29,2021-12-03,short,5,0.2099
MCD,2021-11-29,2021-12-03,short,5,-0.3467
AAPL,2021-11-29,2021-11-30,short,2,-5.2761
WFC,2021-11-29,2021-12-03,short,5,1.1184
CRM,2021-11-30,2021-11-30,long,1,-3.9698
AVGO,2021-11-30,2021-12-06,long,5,0.1134
TXN,2021-11-30,2021-12-06,long,5,0.1183
ADBE,2021-11-30,2021-12-03,long,4,-10.3216
AAPL,2021-12-01,2021-12-07,long,5,3.5572
PEP,2021-12-01,2021-12-03,short,3,-3.7162
COST,2021-12-01,2021-12-07,short,5,-0.5628
PG,2021-12-01,2021-12-07,short,5,-4.7959
JNJ,2021-12-01,2021-12-07,short,5,-4.6387
CRM,2021-12-01,2021-12-08,short,6,5.2502
WMT,2021-12-02,2021-12-08,short,5,-0.0678
BA,2021-12-03,2021-12-09,long,5,2.5595
ADBE,2021-12-06,2021-12-10,short,5,-6.1989
PEP,2021-12-06,2021-12-10,long,5,2.5864
KO,2021-12-07,2021-12-20,long,10,4.7897
PFE,2021-12-07,2021-12-13,short,5,-6.9739
MCD,2021-12-07,2021-12-13,long,5,2.8539
AVGO,2021-12-08,2021-12-22,long,11,11.6855
GM,2021-12-13,2021-12-13,long,1,-6.4547
ORCL,2021-12-13,2021-12-17,long,5,-5.856
COST,2021-12-13,2021-12-17,long,5,-2.006
F,2021-12-13,2021-12-17,long,5,-7.8321
GM,2021-12-14,2021-12-20,short,5,9.0196
MSFT,2021-12-15,2021-12-21,short,5,0.1297
ADBE,2021-12-15,2021-12-23,short,7,6.6612
LLY,2021-12-16,2021-12-17,long,2,-2.8553
TMO,2021-12-16,2021-12-22,long,5,-0.6161
CSCO,2021-12-16,2021-12-22,long,5,2.6698
UNH,2021-12-16,2021-12-22,long,5,-0.0506
PFE,2021-12-16,2021-12-22,long,5,1.2755
AMD,2021-12-16,2021-12-22,long,5,-1.7884
QCOM,2021-12-17,2021-12-23,short,5,-2.5591
ORCL,2021-12-20,2021-12-27,short,5,7.5845
PG,2021-12-20,2021-12-27,short,5,-2.8103
JNJ,2021-12-20,2021-12-27,short,5,-0.8598
LLY,2021-12-20,2021-12-27,short,5,-4.0697
SBUX,2021-12-20,2021-12-27,short,5,-4.9822
WFC,2021-12-20,2021-12-27,short,5,-1.7882
GS,2021-12-20,2021-12-27,short,5,-1.7459
WMT,2021-12-20,2021-12-27,short,5,-1.4387
NKE,2021-12-22,2021-12-29,long,5,1.2903
MU,2021-12-22,2021-12-29,long,5,6.0543
BA,2021-12-22,2021-12-29,long,5,2.075
